timeseries,dataType
root.DianChang.d1.sensor551,FLOAT
root.DianChang.d1.sensor552,FLOAT
root.DianChang.d1.sensor553,FLOAT
root.DianChang.d1.sensor554,FLOAT
root.DianChang.d1.sensor555,FLOAT
root.DianChang.d1.sensor556,FLOAT
root.DianChang.d1.sensor557,FLOAT
root.DianChang.d1.sensor558,FLOAT
root.DianChang.d1.sensor559,FLOAT
root.DianChang.d1.sensor560,FLOAT
root.DianChang.d1.sensor561,FLOAT
root.DianChang.d1.sensor562,FLOAT
root.DianChang.d1.sensor563,FLOAT
root.DianChang.d1.sensor564,FLOAT
root.DianChang.d1.sensor565,FLOAT
root.DianChang.d1.sensor566,FLOAT
root.DianChang.d1.sensor567,FLOAT
root.DianChang.d1.sensor568,FLOAT
root.DianChang.d1.sensor569,FLOAT
root.DianChang.d1.sensor570,FLOAT
root.DianChang.d1.sensor571,FLOAT
root.DianChang.d1.sensor572,FLOAT
root.DianChang.d1.sensor573,FLOAT
root.DianChang.d1.sensor574,FLOAT
root.DianChang.d1.sensor575,FLOAT
root.DianChang.d1.sensor576,FLOAT
root.DianChang.d1.sensor577,FLOAT
root.DianChang.d1.sensor578,FLOAT
root.DianChang.d1.sensor579,FLOAT
root.DianChang.d1.sensor580,FLOAT
root.DianChang.d1.sensor581,FLOAT
root.DianChang.d1.sensor582,FLOAT
root.DianChang.d1.sensor583,FLOAT
root.DianChang.d1.sensor584,FLOAT
root.DianChang.d1.sensor585,FLOAT
root.DianChang.d1.sensor586,FLOAT
root.DianChang.d1.sensor587,FLOAT
root.DianChang.d1.sensor588,FLOAT
root.DianChang.d1.sensor589,FLOAT
root.DianChang.d1.sensor590,FLOAT
root.DianChang.d1.sensor591,FLOAT
root.DianChang.d1.sensor592,FLOAT
root.DianChang.d1.sensor593,FLOAT
root.DianChang.d1.sensor594,FLOAT
root.DianChang.d1.sensor595,FLOAT
root.DianChang.d1.sensor596,FLOAT
root.DianChang.d1.sensor597,FLOAT
root.DianChang.d1.sensor598,FLOAT
root.DianChang.d1.sensor599,FLOAT
root.DianChang.d1.sensor600,FLOAT
root.DianChang.d1.sensor601,FLOAT
root.DianChang.d1.sensor602,FLOAT
root.DianChang.d1.sensor603,FLOAT
root.DianChang.d1.sensor604,FLOAT
root.DianChang.d1.sensor605,FLOAT
root.DianChang.d1.sensor606,FLOAT
root.DianChang.d1.sensor607,FLOAT
root.DianChang.d1.sensor608,FLOAT
root.DianChang.d1.sensor609,FLOAT
root.DianChang.d1.sensor610,FLOAT
root.DianChang.d1.sensor611,FLOAT
root.DianChang.d1.sensor612,FLOAT
root.DianChang.d1.sensor613,FLOAT
root.DianChang.d1.sensor614,FLOAT
root.DianChang.d1.sensor615,FLOAT
root.DianChang.d1.sensor616,FLOAT
root.DianChang.d1.sensor617,FLOAT
root.DianChang.d1.sensor618,FLOAT
root.DianChang.d1.sensor619,FLOAT
root.DianChang.d1.sensor620,FLOAT
root.DianChang.d1.sensor621,FLOAT
root.DianChang.d1.sensor622,FLOAT
root.DianChang.d1.sensor623,FLOAT
root.DianChang.d1.sensor624,FLOAT
root.DianChang.d1.sensor625,FLOAT
root.DianChang.d1.sensor626,FLOAT
root.DianChang.d1.sensor627,FLOAT
root.DianChang.d1.sensor628,FLOAT
root.DianChang.d1.sensor629,FLOAT
root.DianChang.d1.sensor630,FLOAT
root.DianChang.d1.sensor631,FLOAT
root.DianChang.d1.sensor632,FLOAT
root.DianChang.d1.sensor633,FLOAT
root.DianChang.d1.sensor634,FLOAT
root.DianChang.d1.sensor635,FLOAT
root.DianChang.d1.sensor636,FLOAT
root.DianChang.d1.sensor637,FLOAT
root.DianChang.d1.sensor638,FLOAT
root.DianChang.d1.sensor639,FLOAT
root.DianChang.d1.sensor640,FLOAT
root.DianChang.d1.sensor641,FLOAT
root.DianChang.d1.sensor642,FLOAT
root.DianChang.d1.sensor643,FLOAT
root.DianChang.d1.sensor644,FLOAT
root.DianChang.d1.sensor645,FLOAT
root.DianChang.d1.sensor646,FLOAT
root.DianChang.d1.sensor647,FLOAT
root.DianChang.d1.sensor648,FLOAT
root.DianChang.d1.sensor649,FLOAT
root.DianChang.d1.sensor650,FLOAT
root.DianChang.d1.sensor651,FLOAT
root.DianChang.d1.sensor652,FLOAT
root.DianChang.d1.sensor653,FLOAT
root.DianChang.d1.sensor654,FLOAT
root.DianChang.d1.sensor655,FLOAT
root.DianChang.d1.sensor656,FLOAT
root.DianChang.d1.sensor657,FLOAT
root.DianChang.d1.sensor658,FLOAT
root.DianChang.d1.sensor659,FLOAT
root.DianChang.d1.sensor660,FLOAT
root.DianChang.d1.sensor661,FLOAT
root.DianChang.d1.sensor662,FLOAT
root.DianChang.d1.sensor663,FLOAT
root.DianChang.d1.sensor664,FLOAT
